h,degree,kappa,method,pc_type,preonly,FMM Order,ndofs,L^2 Relative Error,H^1 Relative Error,Iteration Number,Residual Norm,Converged Reason,ksp_rtol,ksp_atol
0.0625,1,5.0,pml,lu,False,,11292,0.01081244250289402,0.017263882393160054,1,4.0499380618923545e-14,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,5.0,transmission,lu,False,,11292,0.02986661927170471,0.0328798796354776,2,2.903691154879446e-14,CONVERGED_RTOL,1e-14,1e-50
0.0625,1,5.0,nonlocal_integral_eq,lu,False,49,11292,0.012803017997693626,0.017763613150244877,7,2.2908088433053538e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,0.1,pml,lu,False,,44661,0.0013473003842204687,0.0032037573037266677,2,1.5471159801643166e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,0.1,transmission,lu,False,,44661,0.7800896592674553,0.7543017083314678,2,1.1616906270008142e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,0.1,nonlocal_integral_eq,lu,False,49,44661,0.012025572958333256,0.011630389767069933,6,2.6932093518902367e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,0.5,pml,lu,False,,44661,0.0003519982327813651,0.0006000137726793787,2,2.3988174637948688e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,0.5,transmission,lu,False,,44661,0.17638381488284272,0.1514430746870661,2,2.908844853212501e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,0.5,nonlocal_integral_eq,lu,False,49,44661,0.0023758577104955945,0.0021003279562262765,6,2.0470202693943716e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,1.0,pml,lu,False,,44661,0.0002308849837505211,0.0011199789788987487,2,1.4661659208691707e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,1.0,transmission,lu,False,,44661,0.06425535274596643,0.05440307654187232,2,7.761315420926412e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,1.0,nonlocal_integral_eq,lu,False,49,44661,0.0008240219001177851,0.0012726698373610901,6,1.6443052789618113e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,2.0,pml,lu,False,,44661,0.00025341885428957045,0.0025680220982443043,3,1.6050225982948987e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,2.0,transmission,lu,False,,44661,0.046704695409055766,0.04642445635771839,2,1.8020020710653156e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,2.0,nonlocal_integral_eq,lu,False,49,44661,0.0015806543166991714,0.0029796098554443085,7,1.0620215355869852e-13,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,5.0,pml,lu,False,,44661,0.0027215477179862403,0.007419985988357876,2,2.2232309885346563e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,5.0,transmission,lu,False,,44661,0.028273623591642923,0.02916524491701266,2,6.003112609751527e-14,CONVERGED_RTOL,1e-14,1e-50
0.03125,1,5.0,nonlocal_integral_eq,lu,False,49,44661,0.003955005493004922,0.007773599286755869,7,4.540543158461886e-14,CONVERGED_RTOL,1e-14,1e-50
